 ticket_id, title
71,support for m1.medium instances and higher versions of rake (>= 0.8.7)
70,Odagiri 20120608
69,Bug in describe_launch_configurations when passed a :launch_configuration_names parameter
68,Adding m1.medium to the list of valid instance types.
67,:availability_zone for run_instances does not work
66,Support filtering in describe instances
65,cloudwatch errors are not recognised by aws_error?
64,Change of top-level namespace to fix conflict with official Amazon aws-sdk
63,Rdoc issue:  :instance_type described as :type in request spot instance options hash.
62,Update EC2 API to version 2011-11-01 and add support for new DescribeInstanceStatus API call
60,add new cc2.8xlarge instance
59,Hi! I cleaned up your code for you!
58,ELB Error Causing Crash
56,Added support for CloudWatch's PutMetricData
55,warning: method redefined; discarding old confirm_product_instance
54,Fix relative-path inclusion to work with Ruby 1.9.2 and later.
53,Added PutMetricData to Cloudwatch portion
52,Exception in pathlist when 'arr' is nil.
51,Filter snapshots and volumes
50,Need to update API version for RDS from 2009-10-16
48,add cg1.4xlarge instance type to spot price history
47,Add filters to snapshots
44,awshell and example ruby file giving error
43,Fix authorize security group ingress
41,describe_images now supports filtering
40,RDS create_db_instance :db_parameter_group option is coded incorrectly
1,Managing Director
2,Deprecation warning in Rails ~> 2.3.9
19,correctly detect whether svn braid is up-to-date
18,Move All Code to Lib
17,More Informative CannotGuessType Message
16,Braid: Error: local changes are present
15,fork() function is unimplemented on this machine
14,Post update git hook?
5,"braid swallows git fetch errors, even in verbose mode"
38,undefined method `enable' for #<Capistrano::Configuration::Namespaces::Namespace:0x007f947588a8b8> (NoMethodError)
35,Database dump using wrong role
8,bundler will ask for user password from capistrano
5,EYLogger and notify start/stop are not included in the deploy:cold and deploy:rollback tasks
4,EYLogger#post_process fails if called in the top-level namespace
2,Misleading comments and use of sudo method in mongrel.rb recipes
2,Checkdoc warnings
59,add ipv6 method to Forgery::Internet
58,avoiding white spaces in domain_name and email_address
57,Proper name for Polish Zloty
56,Here are some generators for Russian Taxation system
55,Bump release and publish new gem (0.5.1?)
54,Forgery::Address.phone returns invalid phone numbers
53,Forgery(:internet).email_address - whitespace in email address
51,Simplify the design and consolidate
50,Add UserAgents to dictionaries and Internet forgery
33,Reorganization Of Categories
6,Separate Dictionary sets by language
1,Extend formats to allow alpha character
2,The loading of 'EC2' failed
164,"PG::UndefinedTable: ERROR:  relation ""users"" does not exist"
163,updated for rails4
162,FIX: doc. View issue #143
161,Can't call revision() or revision_at() on models using ActiveRecord::Store?
160,RSpec Fixes
159,Different values in database and audits
158,Audit Globalize translations
157,Audit entries with duplicate version numbers
156,Is there a way to map a foreign key change to a method on the associated model?
155,:only option does not blow up when table not defined
154,"Audited IP needs to be the one originally making the request, not the load balancer's"
153,1.1.1 asking for ruby 1.9.3
152,Rails 4 support
151,Update README to better document strong_parameters requirements.
150,"Add documentation for "":on"" option, to limit which actions are audited"
149,Skip execution of audited if the table doesn't exist
148,Problem with translations when destroy on 1.1.1
147,Audit multiple current_user
146,after not getting called when controller action raises an exception
145,undefined method `audit'
144,without_auditing reset logic not ensured
143,Audit.as_user
140,Prevent audit create errors on duplicate destroys
139,Destroying an audited model twice throws an error from audit writing
138,rails4 compatibility
137,Apply Conditional Validations when we specify the action on which auditing is desired
136,Apply Conditional Validations when we specify the action on which auditing is desired
135,Custom callbacks
132,Add test to ensure which attributes are not audited when uses ':only'
131,Problem in fetching data for audit table
129,username is nil
128,Missing tag for 3.0.0
125,tests should not be carried by audited gem
124,Do not ship .gemspec files.
122,Acts as Paranoid Gem
120,How to create comment upon delete via before_destroy?
118,Performance tuning audited?
117,Scope for both regular and related audits
116,README fix
115,Removing Curly braces
114,Join audits and associated_audits with a single query
113,gemspec licence and test files mismatch
112,Ensure controller isn't leaked in ActiveController around filter
111,Audits by user?
110,added disabling instructions
109,Don't track changes if they are incorrectly triggered by ActiveRecord
108,"Audits stored when the change isn't 'significant', potentially unique to multiparameter attributes"
107,Automatically hook `audited` into all ActiveRecord::Base classes automatically
106,Audited Gem Breaks Marshal
105,Switch default for :protect for easier usage with Rails 3.2
102,Add alias to Audit class and fix README
101,Audit doesn't get pulled in automatically with rc1
100,README Gemfile installation instructions don't work with rc gem
99,Introduce non_auditable_columns lazy method.
98,When running rspec I get this error: Undefined local variable or method `audited'
97,"store the thread_id, in order to recognize all audits created on the same request"
95,Autiting causes ruby process to use excessive amount of memory
93,Whitelist attributes breaks the gem
92,How can i use multiple :associated_with
89,Conflict with acts_as_paranoid/paranoia
88,Rails 3.2 undefined method `class_inheritable_reader'
86,Username is nil in Audit
85,What about auditing a collection using it's callbacks?
84,Is it possible to associate a audit with a parent_id?
83,Fix problem when using acts_as_audited in conjunction with devise
79,If a record is destroyed before it ever gets saved then it should be ignored.
78,lazy non_audited_columns method
77,audited_changes column does not work on  Mysql but works on M$Sql
75,Can't generate audits table in Oracle
72,Does not support HABTM relationships
67,Mass assignment error
65,Audit.as_user should cope with exceptions in the block?
64,AddAssociationToAudits problem when upgrading the gem
60,1.1 stable
59,Can you check whether methods exist before creating them?
58,"fixing case when the variable ""controller"" is not defined"
57,Audit.changes and Model.revision[#] inconsistent
55,Weird bug with db:migrate
54,Any way to append onto the end of audit_changes?
53,cannot audit when an association is lost
52,Tag and group feature
50,auditable_type is set to 'Application' instead of model_class.constantize
49,Audit.order not working as expected
47,JRuby 1.6.0.RC1 Rails 3.0.3 Glassfish Deployment
37,"""version"" accessor in audited models clobbers ""version"" column (if present)"
24,Schema changes issue when using object.revisions
21,Stack level too deep in User model with authlogic
20,NoMethodError (undefined method `controller_name' for nil:NilClass):  again
18,Globally disable auditing
14,Does not record user_id with Clearance
2,It's not possible to get at version 0 (i.e. before any changes) of an object.
25,Yandex API Geocoder problem
24,[Rails 2.3.x] undefined method locate
22,Fix for Rails 3.2.3 active_record.whitelist_attributes = true default config
18,Rails 3.2.rc1 ActiveRecord ConnectionNotEstablished
15,Downcasing (with support for unicode characters) all queries
14,ActiveModel compliance and usage?
13,Timezone Information
10,Using distance calculations for relations?
8,normalize_address does not normalize region or country
5,Add option to disable geocoding
3,Avoid trying to geocode unless address fields have changed
