" ticket_id"," title"," totalcomments"," created"
"27-2661","UDP sockets fail when sending multiple packets to non-listening port",1,"2011-02-01 11:50:57"
"27-2641","Intern array literals (%i[a b c]) are not implemented",3,"2011-01-27 20:54:07"
"27-2629","Add rb_class_real per #2358",6,"2011-01-26 18:40:02"
"27-2628","Possible Mutex bug",1,"2010-12-10 20:21:15"
"27-2627","no such file to load -- rubygems/path_support (LoadError)",5,"2010-11-28 20:18:54"
"27-2621","crash report",2,"2010-11-15 16:36:25"
"27-2604","LANG unset",8,"2010-11-04 06:38:41"
"27-2603","assignment-in-if statement inconsistency",6,"2010-10-30 10:28:36"
"27-2600","TopLevel and Object.const_set should automatically set Module#name of anonymous modules",6,"2010-10-19 02:52:02"
"27-2598","avdi/naught test suite failing from Module#const_set",2,"2010-10-12 03:58:43"
"27-2596","Proc#block inconsistency",6,"2010-10-12 02:59:32"
"27-2595","Lambda literal syntax with arguments and whitespace",3,"2010-10-11 04:28:16"
"27-2574","do-block argument parsing inconsistency",1,"2010-09-13 09:34:48"
"27-2522","String delete/tr slowish compared to MRI",2,"2010-09-04 23:13:22"
"27-2507","getaddrinfo causing crash under sidekiq",2,"2010-08-31 05:26:01"
"27-2504","Deployable engine version doesn't match local version, can't bundle",28,"2010-08-25 13:39:29"
"27-2478","Dir['**/**/**'] raises ""Coercion error: nil.to_str => String failed",0,"2010-08-14 07:59:00"
"27-2471","JIT problem",3,"2010-04-27 15:43:24"
"27-2462","Nokogiri test suite crashes",3,"2010-03-22 12:32:02"
"27-2442","Strange transient failures with Racc",2,"2010-03-22 12:30:53"
"27-2438","Faster Primality Testing and Factorization Methods for Ruby",6,"2010-03-22 12:22:48"
"27-2390","Make ObjectSpace.each_object(Class|Module) faster",0,"2010-03-22 12:18:42"
"27-2380","Strip omit-frame-pointer flag",4,"2010-03-22 12:14:07"
"27-2379","Running rake a second time the same failure should show up",5,"2010-02-14 17:59:54"
"27-2362","sendmesg (blocking) of class BasicSocket crashes the thread of the thread pool",1,"2010-02-10 15:53:46"
"27-2358","rb_class_real() missing from C API",4,"2010-01-05 18:35:07"
"27-2335","Strange typing behaviour using -n option",2,"2009-07-21 04:05:04"
"27-2331","Building Melbourne for Rubinius, fails on armv7l",11,"2009-06-14 14:10:16"
"27-2327","Bunny master tests fail on Rubinius",14,"2009-06-14 12:53:00"
"27-2303","Issue with failing DNS lookups",3,"2013-11-13 00:29:42"
"27-2290","Different behavior for UnboundMethod than in MRI 1.9",6,"2013-11-12 22:37:27"
"27-2243","[rails] (ArgumentError) ""comparison of #<Enumerable::SortedElement:0xcf8ec..failed (6)",2,"2013-11-11 16:36:10"
"27-2241","Date._parse has different arity than 1.9.3",2,"2013-11-10 12:23:01"
"27-2219","Benchmarking bm_loop_whileloop.rb failed on i386 with Error::EDOM",1,"2013-11-10 12:07:10"
"27-2200","Support accessing Fiber-locals and backtraces for a Fiber",12,"2013-11-09 19:57:15"
"27-2182","Hover state on long titles on blog looks busted",0,"2013-11-09 19:51:55"
"27-2166","IO performance",7,"2013-11-05 06:21:04"
"27-2155","FFI-Inline gem fails rspec",0,"2013-11-03 13:59:06"
"27-2123","Cannot attach LLVM via FFI",0,"2013-10-31 22:52:43"
"27-2121","Ensure the tests for these FFI projects pass on Rubinius",11,"2013-10-31 22:12:59"
"27-2102","Crash after Guard test run",13,"2013-10-31 22:03:45"
"27-2087","Possible Regexp issue with Oniguruma in 1.8 language mode",1,"2013-10-29 02:21:41"
"27-2081"," IO::InternalBuffer#fill_from crash when tab completing in ""xiki"" gem console",3,"2013-10-26 10:17:05"
"27-2078","Extend FFI::Platform::POSIX with faster native IO methods",0,"2013-10-24 21:39:36"
"27-2077","Cleanup Array and add Reflector",2,"2013-10-24 21:07:34"
"27-2044","eventmachine fork test failure with rubinius",1,"2013-10-24 17:49:11"
"27-2026","Scoping on $_ var is wrong",0,"2013-10-23 17:10:14"
"27-2006","Ensure the tests for these C-exts pass on Rubinius",54,"2013-10-16 02:33:40"
"27-1991","Rails usage of jit_stub primitives",1,"2013-10-15 21:51:49"
"27-1976","Group permissions",3,"2013-10-15 14:51:40"
"27-1941","next inside of an ensure block crashes compiler",3,"2013-10-13 00:22:37"
"27-1867","Missing concurrency primitives",8,"2013-10-11 16:12:53"
"27-1851","Pure Rubinius C++ API",6,"2013-10-09 13:49:15"
"27-1738","Trailing hash support in IO.popen",2,"2013-10-09 09:43:44"
"27-1644","Rubinius::EncodingClass::Encoding::CompatibilityError",15,"2013-10-08 19:27:52"
"27-1547","In irb, variable is not created if it's defined in code that never runs",8,"2013-10-08 18:33:37"
"27-1481","#readlines significantly slower than MRI",4,"2013-10-08 05:48:35"
"27-1099","Embed API",13,"2013-10-08 05:16:27"
"27-1043","Static and shared libraries for rubinius",18,"2013-10-07 12:39:33"
"27-985","CSV is much slower than MRI",19,"2013-10-07 07:35:38"
"27-965","much slower Nokogiri iteration",6,"2013-10-07 01:03:00"
"27-629","Debugger ""next"" doesn't catch exception rescue's sometimes",3,"2013-10-06 23:42:29"
"27-575","Be able to get/set the return value of a method at a ""safe"" location such as a RET instruction.",0,"2013-10-05 09:03:48"
"28-151","Lifecycle conditions are disabled on restart",1,"2013-10-02 21:02:22"
"28-150","Create Root_CA_Resistrant_License",0,"2013-10-01 18:15:42"
"28-149","unicorn_rails start command exited with non-zero code = 10",0,"2013-09-29 16:43:50"
"28-144","statsd_contact",3,"2013-09-28 04:37:57"
"28-142","[fix #129] Fix register/de-register bug when process is restarted out-of-band.",3,"2013-09-17 07:52:23"
"28-141","Explicitly exit from forked process to force file descriptors to be flushed",0,"2013-09-16 13:43:55"
"28-140","Specify syslog server for remote logging",2,"2013-09-13 23:20:57"
"28-135","Email notifications are missing information.",1,"2013-09-13 18:42:23"
"28-132","Prevent from starts two processes",5,"2013-09-12 14:09:36"
"28-130","Added support for IRC notifications",1,"2013-09-12 05:32:08"
"28-129","god doesn't seem to properly de-register process_exit monitoring",3,"2013-08-26 17:37:44"
"28-128","Duplicate processes starting",1,"2013-08-02 10:30:50"
"28-127","clean_pid_file behavior seems too naive",1,"2013-07-29 14:24:27"
"28-126","God and Ruby 2.0.0",3,"2013-07-26 23:47:30"
"28-124","WARN: technical_worker start command exited with non-zero code = 1",1,"2013-07-21 10:03:08"
"28-123","Support for additional groups and basic expectations in sockets",1,"2013-07-19 15:22:12"
"28-121","god thinks its really THE GOD and kills non-monitored process mongod at times",0,"2013-07-16 10:08:24"
"28-120","Small change to campfire contact to allow the use of a proxy to get to outside world",0,"2013-07-11 14:33:15"
"28-119","something is wrong on the website?",0,"2013-07-09 19:16:16"
"28-118","God::EventHandler.start will not called unless initial config file",0,"2013-06-19 13:52:58"
"28-117","Not stop and restart Unicorn",0,"2013-06-09 16:48:29"
"28-116","Enable multiple gods on one system, run by non-root users.",3,"2013-06-09 11:59:22"
